"ocl";"chl";"chl2";"chl3";"chl4";"chl1a";"chl2a";"chl3a";"el";"bins"
"Corbula inaequalis";-4.34380542185369;-0.693147180559945;-0.287682072451781;0.405465108108164;1.09861228866811;-1;0;1;0;13
"Corbula solidula";-3.63758615972639;0;NA;NA;NA;0;NA;NA;0;13
"Crassadoma multistriata";-4.99382817577987;-0.405465108108164;0.44183275227904;NA;NA;-1;0;NA;0;13
"Crassatella densus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Crassicardia puella";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Crassinella martinicensis";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;1;13
"Crassoleda crassatelloides";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Crassostrea makarovi";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Crenilabium terebelloides";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Crepidula fornicata";-3.63758615972639;0.693147180559945;0.693147180559945;0.693147180559945;1.79175946922805;1;1;1;0;13
"Crepidula maculosa";-2.73002910782098;1.09861228866811;NA;NA;NA;1;NA;NA;0;13
"Crepidula plana";-3.63758615972639;-0.405465108108164;0;0;0;-1;0;0;0;13
"Cristatopecten cristatum";-3.63758615972639;0;0.693147180559945;NA;NA;0;1;NA;0;13
"Crucibulum chipolanum";-3.15700042115011;0.693147180559945;1.38629436111989;NA;NA;1;2;NA;1;13
"Crucibulum waltonense";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Cryptangia reptans";-3.87120101090789;0;1.09861228866811;NA;NA;0;1;NA;1;13
"Culicia parasita";-3.87120101090789;0;0.405465108108164;0;1.09861228866811;0;1;0;0;13
"Cyclocardia crebricostata";-4.00733318523247;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Cylichna cylindracea";-4.58496747867057;0;NA;NA;NA;0;NA;NA;0;13
"Cymatophos veatchi";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;1;13
"Dallocardia dominicense";-2.73002910782098;1.09861228866811;1.09861228866811;NA;NA;1;1;NA;1;13
"Daphnobela miocaenica";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Deltocyathus italicus";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
"Dendrophyllia amica";-3.87120101090789;0;-0.287682072451781;0.810930216216329;NA;0;-1;0;1;13
"Dendrophyllia colonjoni";-3.15700042115011;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;1;13
"Dendrophyllia taurinensis";-3.63758615972639;0.693147180559945;0;0;NA;1;0;0;0;13
"Dentalium armillatum";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Dentalium pyrum";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Diodora italica";-3.72569342723665;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Diplodonta orbella";-3.87120101090789;0;0;0;-0.693147180559945;0;0;0;0;13
"Diplodonta rotundata";-3.87120101090789;0;0;0;NA;0;0;0;0;13
"Diplodonta usta";-4.34380542185369;0;-0.693147180559945;0;NA;0;-1;0;0;13
"Discoporella umbellata";-4.34380542185369;0;0;0;NA;0;0;0;0;13
"Distorsio clathrata";-3.94739014926543;0;NA;NA;NA;0;NA;NA;0;13
"Distorsio mcgintyi";-3.39002408106403;0.693147180559945;0;0;0;1;0;0;0;13
"Distorsio simillima";-3.30810695859614;1.09861228866811;0.405465108108165;1.09861228866811;NA;1;0;1;0;13
"Dorsanum opinabile";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Dosinia acetabulum";-3.80666248977032;1.09861228866811;1.09861228866811;NA;NA;1;1;NA;0;13
"Dosinia delicatissima";-3.2188758248682;1.09861228866811;0.405465108108165;0.405465108108165;1.09861228866811;1;0;0;0;13
"Dosinia exoleta";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;13
"Dosinia lupina";-3.15700042115011;0;NA;NA;NA;0;NA;NA;0;13
"Dosinia ponderosa";-3.09104245335832;0.693147180559945;1.38629436111989;NA;NA;1;2;NA;0;13
"Ecphora quadricostata";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Elphidium crispum";-4.58496747867057;0;0.693147180559945;0.693147180559945;0.693147180559945;0;1;1;0;13
"Enallopsammia poppelacki";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
"Ensis directus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Eotrigonia subundulata";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Epitonium frondiculum";-3.87120101090789;0;0;0;0;0;0;0;1;13
"Erosaria helvola";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Ervilia pusilla";-3.87120101090789;0;1.09861228866811;NA;NA;0;1;NA;1;13
"Ervilia valhosierr";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
"Eucrassatella elassa";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Eucrassatella picadera";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Eucrassatella venezuelana";-3.2188758248682;1.09861228866811;1.79175946922805;1.79175946922805;1.79175946922805;1;2;2;0;13
"Eulima glabra";-3.87120101090789;0;0;0;NA;0;0;0;1;13
"Eulima nobilis";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Eupsammia cylindrica";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Eurytellina angulosa";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Eurytellina punicea";-4.17438726989564;0;NA;NA;NA;0;NA;NA;0;13
"Euspira helicina";-3.87120101090789;-1.38629436111989;0;0;-0.693147180559945;-1;0;0;0;13
"Euspira heros";-3.63758615972639;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;0;13
"Euvola bowdenensis";-3.30810695859614;1.09861228866811;NA;NA;NA;1;NA;NA;0;13
"Favia dominicensis";-3.87120101090789;0;0;0;NA;0;0;0;1;13
"Favites neglecta";-3.87120101090789;-1.09861228866811;-0.810930216216329;-2.42036812865043;-1.72722094809048;-1;0;-1;1;13
"Ficus conditus";-3.87120101090789;-0.693147180559945;0.405465108108165;-0.980829253011725;-0.693147180559944;-1;0;-1;1;13
"Ficus geometra";-4.34380542185369;0;0;0.693147180559945;NA;0;0;1;0;13
"Fissidentalium uscarianum";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Flabellipecten fraterculus";-3.30810695859614;0;NA;NA;NA;0;NA;NA;0;13
"Flabellum extensum";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Flabellum roissyanum";-3.87120101090789;-0.693147180559945;0;NA;NA;-1;0;NA;1;13
"Flabellum zuffardii";-3.87120101090789;0;0;0;NA;0;0;0;1;13
"Florimetis biplicata";-4.34380542185369;0;0.693147180559945;NA;NA;0;1;NA;0;13
"Florimetis trinitaria";-3.63758615972639;0.693147180559945;0;NA;NA;1;0;NA;0;13
"Galaxea astreata";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Galaxea elegantissima";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Gari gubernatoria";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Gazameda acricula";-3.63758615972639;0;-0.693147180559945;NA;NA;0;-1;NA;0;13
"Gemmula granosa";-2.56494935746154;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;0;13
"Gemmula karangensis";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Gemmula kieneri";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Gemmula machapoorensis";-3.87120101090789;-0.693147180559945;0;NA;NA;-1;0;NA;1;13
"Gemmula vaningeni";-3.2188758248682;0.405465108108164;0.405465108108164;NA;NA;1;1;NA;0;13
"Gibbula leupoldi";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Globigerina bulloides";-3.87120101090789;0;0;0;-0.693147180559945;0;0;0;0;13
"Glossus fraterna";-3.72569342723665;0.693147180559945;0;NA;NA;1;0;NA;0;13
"Glossus humanus";-3.87120101090789;0;0.693147180559945;NA;NA;0;1;NA;0;13
"Glossus lunulatus";-3.87120101090789;0;0;0;0;0;0;0;1;13
"Glycymeris bimaculata";-4.13915857801189;0;NA;NA;NA;0;NA;NA;0;13
"Glycymeris cor";-3.63758615972639;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Glycymeris inflatus";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Glycymeris obovata";-3.87120101090789;0;0.693147180559945;0;0.693147180559945;0;1;0;0;13
"Glycymeris septentrionalis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Glycymeris slodkewitschi";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Glycymeris snatolensis";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Glyptoactis aversa";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Goniopora imperatoris";-4.21950770517611;0;0;0;0.405465108108164;0;0;0;0;13
"Goniopora stutchburyi";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Goniopora turonensis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Goodallia angulata";-3.87120101090789;-0.693147180559945;0;NA;NA;-1;0;NA;1;13
"Goodallia waeli";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Gouldia costaricensis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Gouldia minima";-2.43141796483702;0;0.287682072451781;NA;NA;0;1;NA;0;13
"Gyrineum marginatum";-3.87120101090789;-1.09861228866811;NA;NA;NA;-1;NA;NA;0;13
"Hadriania coelata";-3.87120101090789;0;0;0;0;0;0;0;1;13
"Haliotis tuberculata";-4.58496747867057;0;0;NA;NA;0;0;NA;0;13
"Haustator eryna";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
"Haustator sedanensis";-3.87120101090789;-0.693147180559945;0;NA;NA;-1;0;NA;1;13
"Haustator vermicularis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Haustellum messorium";-3.63758615972639;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Hemipristis serra";-3.15700042115011;0;-0.693147180559945;NA;NA;0;-1;NA;1;13
"Hesperithyris sinuosa";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
"Heteranomia squamula";-3.87120101090789;0;0;NA;NA;0;0;NA;0;13
"Hexacorbula gatunensis";-2.91777073208428;1.38629436111989;2.07944154167983;NA;NA;1;2;NA;0;13
"Hexacorbula hexacyma";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;13
"Hiatella arctica";-2.76474554477876;0.22314355131421;0.916290731874155;0.510825623765991;0.916290731874155;1;2;1;0;13
"Hindsiclava consors";-3.30810695859614;0.405465108108164;0.693147180559945;1.38629436111989;2.484906649788;1;2;3;0;13
"Hydrobia frauenfeldi";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Hydrobia stagnalis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Hyotissa haitensis";-3.09104245335832;1.09861228866811;0;-0.405465108108164;0.287682072451781;1;0;-1;0;13
"Ithycythara defuniak";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Laevicardium njalindungense";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Laevicardium serratum";-3.35689712276557;0;1.38629436111989;NA;NA;0;1;NA;0;13
"Lamelliconcha cora";-4.34380542185369;0;0;0;0;0;0;0;0;13
"Lenticulina calcar";-3.87120101090789;0;0;-0.693147180559945;NA;0;0;-1;0;13
"Leopecten gatunensis";-3.30810695859614;1.09861228866811;0.405465108108165;1.09861228866811;NA;1;0;1;0;13
"Leptomactra delumbis";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
